Subject_ID,Run,Frame,CAP_Label
hc0165,run-0,0,1
hc0165,run-0,1,1
hc0165,run-0,2,5
hc0165,run-0,3,5
hc0165,run-0,4,5
hc0165,run-0,5,5
hc0165,run-0,6,3
hc0165,run-0,7,3
hc0165,run-0,8,3
hc0165,run-0,9,3
hc0165,run-0,10,3
hc0165,run-0,11,4
hc0165,run-0,12,4
hc0165,run-0,13,4
hc0165,run-0,14,4
hc0165,run-0,15,4
hc0165,run-0,16,4
hc0165,run-0,17,3
hc0165,run-0,18,6
hc0165,run-0,19,3
hc0165,run-0,20,2
hc0165,run-0,21,2
hc0165,run-0,22,2
hc0165,run-0,23,2
hc0165,run-0,24,2
hc0165,run-0,25,2
hc0165,run-0,26,2
hc0165,run-0,27,2
hc0165,run-0,28,5
hc0165,run-0,29,5
hc0165,run-0,30,1
hc0165,run-0,31,5
hc0165,run-0,32,5
hc0165,run-0,33,7
hc0165,run-0,34,7
hc0165,run-0,35,7
hc0165,run-0,36,1
hc0165,run-0,37,7
hc0165,run-0,38,1
hc0165,run-0,39,1
hc0165,run-0,40,1
hc0165,run-0,41,5
hc0165,run-0,42,7
hc0165,run-0,43,2
hc0165,run-0,44,2
hc0165,run-0,45,5
hc0165,run-0,46,5
hc0165,run-0,47,5
hc0165,run-0,48,5
hc0165,run-0,49,5
hc0165,run-0,50,3
hc0165,run-0,51,3
hc0165,run-0,52,5
hc0165,run-0,53,3
hc0165,run-0,54,7
hc0165,run-0,55,7
hc0165,run-0,56,7
hc0165,run-0,57,2
hc0165,run-0,58,5
hc0165,run-0,59,5
hc0165,run-0,60,5
hc0165,run-0,61,5
hc0165,run-0,62,5
hc0165,run-0,63,2
hc0165,run-0,64,4
hc0165,run-0,65,4
hc0165,run-0,66,4
hc0165,run-0,67,4
hc0165,run-0,68,4
hc0165,run-0,69,4
hc0165,run-0,70,6
hc0165,run-0,71,6
hc0165,run-0,72,6
hc0165,run-0,73,6
hc0165,run-0,74,6
hc0165,run-0,75,6
hc0165,run-0,76,4
hc0165,run-0,77,4
hc0165,run-0,78,4
hc0165,run-0,79,4
hc0165,run-0,80,4
hc0165,run-0,81,1
hc0165,run-0,82,1
hc0165,run-0,83,1
hc0165,run-0,84,1
hc0165,run-0,85,5
hc0165,run-0,86,1
hc0165,run-0,87,1
hc0165,run-0,88,7
hc0165,run-0,89,7
hc0165,run-0,90,1
hc0165,run-0,91,2
hc0165,run-0,92,2
hc0165,run-0,93,2
hc0165,run-0,94,5
hc0165,run-0,95,5
hc0165,run-0,96,5
hc0165,run-0,97,2
hc0165,run-0,98,2
hc0165,run-0,99,5
hc0165,run-0,100,5
hc0165,run-0,101,5
hc0165,run-0,102,5
hc0165,run-0,103,2
hc0165,run-0,104,2
hc0165,run-0,105,2
hc0165,run-0,106,2
hc0165,run-0,107,2
hc0165,run-0,108,2
hc0165,run-0,109,1
hc0165,run-0,110,1
hc0165,run-0,111,1
hc0165,run-0,112,1
hc0165,run-0,113,1
hc0165,run-0,114,3
