Subject_ID,Run,Frame,CAP_Label
hc0150,run-0,0,5
hc0150,run-0,1,3
hc0150,run-0,2,3
hc0150,run-0,3,3
hc0150,run-0,4,3
hc0150,run-0,5,1
hc0150,run-0,6,3
hc0150,run-0,7,3
hc0150,run-0,8,4
hc0150,run-0,9,4
hc0150,run-0,10,4
hc0150,run-0,11,4
hc0150,run-0,12,1
hc0150,run-0,13,4
hc0150,run-0,14,1
hc0150,run-0,15,1
hc0150,run-0,16,3
hc0150,run-0,17,1
hc0150,run-0,18,4
hc0150,run-0,19,1
hc0150,run-0,20,1
hc0150,run-0,21,4
hc0150,run-0,22,1
hc0150,run-0,23,1
hc0150,run-0,24,1
hc0150,run-0,25,1
hc0150,run-0,26,1
hc0150,run-0,27,1
hc0150,run-0,28,2
hc0150,run-0,29,2
hc0150,run-0,30,2
hc0150,run-0,31,2
hc0150,run-0,32,5
hc0150,run-0,33,5
hc0150,run-0,34,2
hc0150,run-0,35,2
hc0150,run-0,36,2
hc0150,run-0,37,2
hc0150,run-0,38,3
hc0150,run-0,39,5
hc0150,run-0,40,3
hc0150,run-0,41,3
hc0150,run-0,42,3
hc0150,run-0,43,7
hc0150,run-0,44,7
hc0150,run-0,45,7
hc0150,run-0,46,7
hc0150,run-0,47,7
hc0150,run-0,48,3
hc0150,run-0,49,3
hc0150,run-0,50,2
hc0150,run-0,51,2
hc0150,run-0,52,6
hc0150,run-0,53,6
hc0150,run-0,54,6
hc0150,run-0,55,6
hc0150,run-0,56,6
hc0150,run-0,57,6
hc0150,run-0,58,5
hc0150,run-0,59,5
hc0150,run-0,60,5
hc0150,run-0,61,5
hc0150,run-0,62,5
hc0150,run-0,63,6
hc0150,run-0,64,3
hc0150,run-0,65,3
hc0150,run-0,66,3
hc0150,run-0,67,3
hc0150,run-0,68,7
hc0150,run-0,69,1
hc0150,run-0,70,1
hc0150,run-0,71,1
hc0150,run-0,72,1
hc0150,run-0,73,4
hc0150,run-0,74,4
hc0150,run-0,75,4
hc0150,run-0,76,4
hc0150,run-0,77,4
hc0150,run-0,78,4
hc0150,run-0,79,4
hc0150,run-0,80,4
hc0150,run-0,81,2
hc0150,run-0,82,2
hc0150,run-0,83,5
hc0150,run-0,84,5
hc0150,run-0,85,5
hc0150,run-0,86,5
