Subject_ID,Run,Frame,CAP_Label
hc0189,run-0,0,4
hc0189,run-0,1,4
hc0189,run-0,2,4
hc0189,run-0,3,4
hc0189,run-0,4,4
hc0189,run-0,5,4
hc0189,run-0,6,4
hc0189,run-0,7,4
hc0189,run-0,8,4
hc0189,run-0,9,3
hc0189,run-0,10,3
hc0189,run-0,11,1
hc0189,run-0,12,3
hc0189,run-0,13,3
hc0189,run-0,14,3
hc0189,run-0,15,3
hc0189,run-0,16,3
hc0189,run-0,17,3
hc0189,run-0,18,3
hc0189,run-0,19,3
hc0189,run-0,20,3
hc0189,run-0,21,5
hc0189,run-0,22,5
hc0189,run-0,23,5
hc0189,run-0,24,5
hc0189,run-0,25,5
hc0189,run-0,26,5
hc0189,run-0,27,5
hc0189,run-0,28,5
hc0189,run-0,29,5
hc0189,run-0,30,5
hc0189,run-0,31,3
hc0189,run-0,32,3
hc0189,run-0,33,6
hc0189,run-0,34,6
hc0189,run-0,35,6
hc0189,run-0,36,6
hc0189,run-0,37,6
hc0189,run-0,38,2
hc0189,run-0,39,5
hc0189,run-0,40,2
hc0189,run-0,41,2
hc0189,run-0,42,2
hc0189,run-0,43,1
hc0189,run-0,44,1
hc0189,run-0,45,2
hc0189,run-0,46,4
hc0189,run-0,47,4
hc0189,run-0,48,4
hc0189,run-0,49,1
hc0189,run-0,50,1
hc0189,run-0,51,1
hc0189,run-0,52,1
hc0189,run-0,53,1
hc0189,run-0,54,1
hc0189,run-0,55,1
hc0189,run-0,56,1
hc0189,run-0,57,1
hc0189,run-0,58,1
hc0189,run-0,59,1
hc0189,run-0,60,1
hc0189,run-0,61,1
hc0189,run-0,62,1
hc0189,run-0,63,6
hc0189,run-0,64,6
hc0189,run-0,65,6
hc0189,run-0,66,6
hc0189,run-0,67,4
hc0189,run-0,68,4
hc0189,run-0,69,4
hc0189,run-0,70,4
hc0189,run-0,71,4
hc0189,run-0,72,4
hc0189,run-0,73,4
hc0189,run-0,74,4
hc0189,run-0,75,3
hc0189,run-0,76,7
hc0189,run-0,77,7
hc0189,run-0,78,7
hc0189,run-0,79,7
hc0189,run-0,80,7
hc0189,run-0,81,7
hc0189,run-0,82,7
hc0189,run-0,83,7
hc0189,run-0,84,7
hc0189,run-0,85,5
hc0189,run-0,86,5
hc0189,run-0,87,5
hc0189,run-0,88,5
hc0189,run-0,89,5
hc0189,run-0,90,3
hc0189,run-0,91,3
hc0189,run-0,92,3
hc0189,run-0,93,3
hc0189,run-0,94,3
hc0189,run-0,95,2
hc0189,run-0,96,2
hc0189,run-0,97,2
hc0189,run-0,98,1
hc0189,run-0,99,1
hc0189,run-0,100,1
hc0189,run-0,101,1
hc0189,run-0,102,2
hc0189,run-0,103,2
hc0189,run-0,104,2
hc0189,run-0,105,2
hc0189,run-0,106,1
hc0189,run-0,107,2
hc0189,run-0,108,2
hc0189,run-0,109,1
hc0189,run-0,110,2
hc0189,run-0,111,2
hc0189,run-0,112,2
hc0189,run-0,113,2
hc0189,run-0,114,3
hc0189,run-0,115,3
hc0189,run-0,116,3
hc0189,run-0,117,3
hc0189,run-0,118,3
hc0189,run-0,119,3
