Subject_ID,Run,Frame,CAP_Label
hc0218,run-0,0,3
hc0218,run-0,1,3
hc0218,run-0,2,3
hc0218,run-0,3,3
hc0218,run-0,4,4
hc0218,run-0,5,3
hc0218,run-0,6,7
hc0218,run-0,7,7
hc0218,run-0,8,7
hc0218,run-0,9,7
hc0218,run-0,10,1
hc0218,run-0,11,1
hc0218,run-0,12,1
hc0218,run-0,13,1
hc0218,run-0,14,1
hc0218,run-0,15,5
hc0218,run-0,16,3
hc0218,run-0,17,5
hc0218,run-0,18,3
hc0218,run-0,19,3
hc0218,run-0,20,3
hc0218,run-0,21,3
hc0218,run-0,22,3
hc0218,run-0,23,3
hc0218,run-0,24,3
hc0218,run-0,25,3
hc0218,run-0,26,3
hc0218,run-0,27,2
hc0218,run-0,28,2
hc0218,run-0,29,2
hc0218,run-0,30,2
hc0218,run-0,31,2
hc0218,run-0,32,2
hc0218,run-0,33,2
hc0218,run-0,34,2
hc0218,run-0,35,2
hc0218,run-0,36,2
hc0218,run-0,37,2
hc0218,run-0,38,2
hc0218,run-0,39,2
hc0218,run-0,40,7
hc0218,run-0,41,7
hc0218,run-0,42,7
hc0218,run-0,43,7
hc0218,run-0,44,7
hc0218,run-0,45,4
hc0218,run-0,46,4
hc0218,run-0,47,4
hc0218,run-0,48,6
hc0218,run-0,49,4
hc0218,run-0,50,4
hc0218,run-0,51,6
hc0218,run-0,52,6
hc0218,run-0,53,6
hc0218,run-0,54,3
hc0218,run-0,55,3
hc0218,run-0,56,3
hc0218,run-0,57,3
hc0218,run-0,58,2
hc0218,run-0,59,2
hc0218,run-0,60,4
hc0218,run-0,61,2
hc0218,run-0,62,4
hc0218,run-0,63,4
hc0218,run-0,64,4
hc0218,run-0,65,4
hc0218,run-0,66,4
hc0218,run-0,67,4
hc0218,run-0,68,7
hc0218,run-0,69,1
hc0218,run-0,70,1
hc0218,run-0,71,1
hc0218,run-0,72,1
hc0218,run-0,73,1
hc0218,run-0,74,1
hc0218,run-0,75,1
hc0218,run-0,76,1
hc0218,run-0,77,1
hc0218,run-0,78,5
hc0218,run-0,79,5
hc0218,run-0,80,5
hc0218,run-0,81,5
hc0218,run-0,82,5
hc0218,run-0,83,5
hc0218,run-0,84,5
hc0218,run-0,85,5
hc0218,run-0,86,5
hc0218,run-0,87,5
hc0218,run-0,88,5
hc0218,run-0,89,5
hc0218,run-0,90,5
hc0218,run-0,91,6
hc0218,run-0,92,5
hc0218,run-0,93,5
hc0218,run-0,94,3
hc0218,run-0,95,5
hc0218,run-0,96,3
hc0218,run-0,97,2
hc0218,run-0,98,2
hc0218,run-0,99,1
hc0218,run-0,100,1
hc0218,run-0,101,2
hc0218,run-0,102,4
hc0218,run-0,103,4
hc0218,run-0,104,4
hc0218,run-0,105,4
hc0218,run-0,106,4
hc0218,run-0,107,4
hc0218,run-0,108,4
hc0218,run-0,109,4
hc0218,run-0,110,4
hc0218,run-0,111,4
hc0218,run-0,112,4
hc0218,run-0,113,4
hc0218,run-0,114,4
hc0218,run-0,115,4
hc0218,run-0,116,4
hc0218,run-0,117,4
hc0218,run-0,118,4
hc0218,run-0,119,3
hc0218,run-0,120,1
hc0218,run-0,121,6
hc0218,run-0,122,3
hc0218,run-0,123,3
hc0218,run-0,124,3
hc0218,run-0,125,3
hc0218,run-0,126,3
hc0218,run-0,127,3
hc0218,run-0,128,3
hc0218,run-0,129,3
hc0218,run-0,130,3
hc0218,run-0,131,5
hc0218,run-0,132,5
hc0218,run-0,133,5
hc0218,run-0,134,5
